User.ID,ISBN,Book.Rating,One
203162,1853262102,8,1
172533,059033123X,0,1
202801,553062182,7,1
245649,671415085,0,1
219132,671042920,0,1
174791,590819097,0,1
253852,2253062987,10,1
246655,380798948,0,1
3048,670891576,10,1
212898,553378716,0,1
236550,375408703,0,1
191014,394717848,5,1
166824,671776800,0,1
175482,3423780754,0,1
214272,140274375,8,1
255493,140622217,0,1
250764,553572830,0,1
251251,451410440,6,1
271448,345342968,0,1
169282,312209193,5,1
252601,843924608,0,1
278418,380702843,0,1
266226,044012168X,0,1
228311,553292722,0,1
197775,671722794,0,1
240541,345419707,0,1
218005,140162003,0,1
169221,080596049X,10,1
177458,345302486,0,1
164533,847720859X,0,1
232131,380712520,0,1
177458,143012711,9,1
176254,811831809,5,1
278418,916410110,0,1
197687,671497359,7,1
250527,552994952,7,1
196502,553565265,6,1
244171,449000265,0,1
189227,3499151499,0,1
224711,380791978,0,1
234527,141184280,0,1
213350,1569248494,0,1
265115,446613436,0,1
205735,671028030,0,1
177090,743245539,0,1
182085,821767755,0,1
265115,1556617070,0,1
265115,590568736,0,1
231210,449002640,0,1
278418,039489748X,0,1
214157,9782253173106,0,1
217986,316781460,0,1
260183,312421117,0,1
276680,803727356,7,1
265383,553567152,0,1
261829,671569031,0,1
265115,883659948,0,1
210346,1890159042,10,1
261800,8804431725,0,1
166596,140465340,8,1
230522,307177823,0,1
171076,394872223,0,1
196466,671004573,0,1
212898,553236679,0,1
239488,3499129736,0,1
163804,1551666030,0,1
172374,451166582,0,1
212898,61095435,0,1
231255,7106580,0,1
277040,722536283,0,1
201526,812046951,0,1
237646,067976657X,0,1
214319,304366323,0,1
270713,140048332,0,1
234623,515119520,0,1
198412,088103715X,0,1
211145,553271369,0,1
262569,1583224890,10,1
240568,553233572,5,1
266866,971880107,0,1
232131,340556935,0,1
233041,373288921,0,1
167014,553273817,8,1
175485,3473518204,7,1
165319,375727345,6,1
205630,1857025938,0,1
245963,553258370,0,1
167800,044022425X,0,1
258690,773673822,7,1
227192,60934913,0,1
271931,8423988511,9,1
163804,553572210,0,1
210056,425146707,9,1
228248,971880107,0,1
2302,330352253,0,1
173406,749397543,8,1
224435,515132020,0,1
166123,373095503,0,1
258460,1577481046,4,1
178338,084991521X,0,1
224768,895774186,0,1
271284,451170385,0,1
231210,373092644,0,1
225887,152062319,0,1
193664,141311347,9,1
177458,61020052,0,1
246513,385315309,0,1
215189,340713097,0,1
232036,375502025,0,1
252695,037327257X,0,1
189973,140287825,0,1
186899,590449672,0,1
227447,373764804,0,1
162052,006440501X,10,1
231393,670857831,0,1
170518,671525743,0,1
254899,038000013X,3,1
238781,373835264,0,1
173464,080213016X,0,1
245827,38070892,5,1
198357,446605239,7,1
172613,330488333,8,1
198711,553573993,0,1
170449,380779412,0,1
217106,1586480383,0,1
2977,684841347,0,1
272380,679409505,0,1
212898,373440758,0,1
2179,804108447,0,1
268330,671874349,0,1
205735,671695169,10,1
225623,316601950,7,1
238475,60540664,10,1
207246,805063897,0,1
222296,051770739X,5,1
175003,590462776,0,1
195694,451190491,10,1
198711,446604585,0,1
2977,440183057,0,1
208568,1575662752,0,1
171958,553293400,0,1
247447,312977670,0,1
256072,067399001X,0,1
171118,140183515,10,1
229707,553567764,10,1
208431,3810501409,9,1
179718,1570426600,9,1
239594,140158073,9,1
217705,385486804,6,1
201674,006056668X,0,1
266865,786011262,5,1
243153,60009462,0,1
203380,140620109,9,1
211344,64472272,0,1
184299,345455681,0,1
241204,1573227749,0,1
235105,030702055X,0,1
187904,076113185X,0,1
196160,886776236,0,1
246311,089480829X,0,1
237672,862419425,6,1
251339,1551668580,10,1
228962,884620249X,0,1
186699,671529366,0,1
